,,,Salary,Salary,Salary,Salary,Salary,Salary,,-additional
Rk,Player,Tm,2026-27,2027-28,2028-29,2029-30,2030-31,2031-32,Guaranteed,-9999
1,Stephen Curry,GSW,$62587158,,,,,,$62587158,curryst01
2,Nikola Jokić,DEN,$59033114,$62841702,,,,,$59033114,jokicni01
3,Jayson Tatum,BOS,$58456566,$62786682,$67116798,$71446914,,,$188360046,tatumja01
4,Anthony Davis,WAS,$58456566,$62786682,,,,,$58456566,davisan02
5,Giannis Antetokounmpo,MIA,$58456566,$62786682,,,,,$58456566,antetgi01
6,Joel Embiid,PHI,$58100000,$62748000,$67396000,,,,$120848000,embiijo01
7,Jaylen Brown,PHI,$57078728,$61015192,$64951656,,,,$183045576,brownja02
8,Devin Booker,PHO,$57078728,$61015192,$64065952,$69191228,,,$182159872,bookede01
9,Karl-Anthony Towns,NYK,$57078728,$61015192,,,,,$57078728,townska01
10,Jimmy Butler,GSW,$56832773,,,,,,$56832773,butleji01
11,Paul George,BOS,$54126380,$56586670,,,,,$54126380,georgpa01
12,Kawhi Leonard,TOR,$50300000,,,,,,$50300000,leonaka01
13,Donovan Mitchell,CLE,$50105628,$60911900,$65784852,$70657804,$75530756,,$247460184,mitchdo01
14,Cade Cunningham,DET,$50105628,$53817156,$57528684,$61240212,,,$222691680,cunnica01
15,Evan Mobley,CLE,$50105628,$53817156,$57528684,$61240212,,,$222691680,mobleev01
16,Jamal Murray,DEN,$50105628,$53817156,$57528684,,,,$161451468,murraja01
17,De'Aaron Fox,SAS,$49800000,$53784000,$57768000,$61752000,,,$223104000,foxde01
18,Bam Adebayo,MIA,$49800000,$53784000,$57768000,,,,$103584000,adebaba01
19,Luka Dončić,LAL,$49800000,$53784000,$57768000,,,,$103584000,doncilu01
20,Trae Young,WAS,$49488300,$50478066,$54437130,$58396194,,,$154403496,youngtr01
21,Jaren Jackson Jr.,UTA,$49000000,$50500000,$52000000,$53500000,,,$151500000,jacksja02
22,Zach LaVine,SAC,$48967380,,,,,,$48967380,lavinza01
23,Anthony Edwards,MIN,$48924624,$52298736,$55672848,,,,$156896208,edwaran01
24,Tyrese Haliburton,IND,$48924624,$52298736,$55672848,,,,$156896208,halibty01
25,Pascal Siakam,IND,$48924624,$52298736,,,,,$101223360,siakapa01
26,Lauri Markkanen,UTA,$46113154,$49824681,$53536209,,,,$149474044,markkla01
27,Domantas Sabonis,SAC,$45472000,$48608000,,,,,$94080000,sabondo01
28,Kevin Durant,HOU,$43902439,$46097561,,,,,$43902439,duranke01
29,OG Anunoby,NYK,$42500000,$45431034,$48362068,,,,$87931034,anunoog01
30,Ja Morant,POR,$42166510,$44886930,,,,,$87053440,moranja01
31,Zion Williamson,NOP,$42166510,$44886930,,,,,$87053440,willizi01
32,Darius Garland,LAC,$42166510,$44886930,,,,,$87053440,garlada01
33,Scottie Barnes,TOR,$41754690,$44847630,$47940570,$51033510,,,$185576400,barnesc01
34,Franz Wagner,ORL,$41754690,$44847630,$47940570,$51033510,,,$185576400,wagnefr01
35,Jalen Williams,OKC,$41500000,$44820000,$48140000,$51460000,$54780000,,$240700000,willija06
36,Chet Holmgren,OKC,$41500000,$44820000,$48140000,$51460000,$54780000,,$240700000,holmgch01
37,Paolo Banchero,ORL,$41500000,$44820000,$48140000,$51460000,$54780000,,$185920000,banchpa01
38,Austin Reaves,LAL,$41240250,$44539470,$47838690,$51137910,,,$133618410,reaveau01
39,Shai Gilgeous-Alexander,OKC,$40806150,$61005000,$65885400,$70765800,$75646200,,$238462350,gilgesh01
40,Michael Porter Jr.,BRK,$40806150,,,,,,$12000000,portemi01
41,Tyrese Maxey,PHI,$40770520,$43582280,$46394040,,,,$130746840,maxeyty01
42,LaMelo Ball,MIN,$40770520,$43582280,$46394040,,,,$130746840,ballla01
43,Brandon Ingram,LAC,$40000000,$41904762,,,,,$40000000,ingrabr01
44,Kyrie Irving,DAL,$39491282,$42416562,,,,,$39491282,irvinky01
45,Desmond Bane,ORL,$39446090,$42166510,$44886930,,,,$126499530,banede01
46,Jalen Brunson,NYK,$37739521,$40535041,$43330561,,,,$78274562,brunsja01
47,Rudy Gobert,MIN,$36500000,$38000000,,,,,$36500000,goberru01
48,Jalen Green,PHO,$36251166,$36000000,,,,,$36251166,greenja05
49,Alperen Şengün,HOU,$35642202,$37339450,$39036697,$39036697,,,$112018349,sengual01
50,Jrue Holiday,POR,$34800000,$37200000,,,,,$34800000,holidjr01
51,Jerami Grant,MEM,$34206898,$36413790,,,,,$34206898,grantje01
52,Jordan Poole,NOP,$34044642,,,,,,$34044642,poolejo01
53,Aaron Gordon,DEN,$33658037,$36350680,$39043323,,,,$70008717,gordoaa01
54,Mikal Bridges,NYK,$33482145,$36160714,$38839285,$41517856,,,$108482144,bridgmi01
55,Julius Randle,BRK,$33333334,$35802468,,,,,$33333334,randlju01
